Peshawar vs Lahore, December 15 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Multan vs Islamabad, December 16 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Peshawar vs Karachi, December 17 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Lahore vs Multan, December 18 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Peshawar vs Islamabad, December 19 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Lahore vs Karachi, December 20 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Peshawar vs Multan, December 21 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Lahore vs Islamabad, December 22 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Peshawar vs Quetta, December 23 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Multan vs Karachi, December 24 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Lahore vs Quetta, December 25 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Islamabad vs Karachi, December 26 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Multan vs Quetta, December 27 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Islamabad vs Quetta, December 28 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
Karachi vs Quetta, December 29 2024, Gadafi Stadium, null, Capacity: null, Result: Not Played Yet
